application/epub+zip,epub
application/font-woff,woff
application/java-archive,jar
application/javascript,js
application/json,json
application/msword,doc
application/ogg,ogg
application/vnd.openxmlformats-officedocument.presentationml.presentation,pptx
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
application/pdf,pdf
application/postscript,ai
application/postscript,eps
application/postscript,ps
application/vnd.apple.mpegurl,m3u
application/vnd.mozilla.xul+xml,xul
application/vnd.ms-excel,xls
application/vnd.ms-powerpoint,ppt
application/vnd.oasis.opendocument.formula,odf
application/vnd.oasis.opendocument.graphics,odg
application/vnd.oasis.opendocument.presentation,odp
application/vnd.oasis.opendocument.presentation-template,otp
application/vnd.oasis.opendocument.spreadsheet,ods
application/vnd.oasis.opendocument.spreadsheet-template,ots
application/vnd.oasis.opendocument.text,odt
application/vnd.oasis.opendocument.text-template,ott
application/x-7z-compressed,7z
application/x-apple-diskimage,dmg
application/x-bittorrent,torrent
application/x-bzip,bz
application/x-bzip2,bz2
application/x-dot,dot
application/x-dwg,dwg
application/x-dxf,dxf
application/x-gzip,gz
application/x-gzip,gzip
application/x-gzip,tgz
application/x-httpd-php,php
application/x-httpd-php-source,phps
application/x-iwork-keynote-sffkey,key
application/x-iwork-numbers-sffnumbers,numbers
application/x-iwork-pages-sffpages,pages
application/x-iso9660-image,iso
application/x-msdownload,exe
application/x-msdownload-dll,dll
application/x-perl,pl
application/x-python,py
application/x-rar-compressed,rar
application/x-ruby,rb
application/x-shockwave-flash,swf
application/x-sql,sql
application/x-sqlite2,sqlite
application/x-sqlite3,sqlite3
application/x-stuffit,sit
application/x-tar,tar
application/x-tcl,tcl
application/x-yaml,yml
application/xhtml+xml,xhtml
application/xml-dtd,dtd
application/xslt+xml,xsl
application/xslt+xml,xslt
application/zip,zip
audio/aac,m4a
audio/basic,au
audio/midi,mid
audio/midi,midi
audio/mpeg,mp2
audio/mpeg,mp3
audio/mpeg,mpega
audio/vnd.wave,wav
audio/x-aiff,aif
audio/x-aiff,aifc
audio/x-aiff,aiff
audio/x-ms-wma,wma
image/bmp,bmp
image/gif,gif
image/jpeg,jfif
image/jpeg,jp2
image/jpeg,jpe
image/jpeg,jpeg
image/jpeg,jpg
image/pcx,pcx
image/png,png
image/svg+xml,svg
image/tiff,tif
image/tiff,tiff
image/vnd.microsoft.icon,ico
image/vnd.wap.wbmp,wbmp
image/x-photoshop,psd
image/x-pixelmator,pxm
image/x-targa,tga
text/calendar,ics
text/css,css
text/csv,csv
text/html,htm
text/html,html
text/plain,inc
text/plain,ini
text/plain,log
text/plain,nfo
text/plain,txt
text/plain,wiki
text/richtext,rtf
text/richtext,rtx
text/vbscript,asp
text/vbscript,vbs
text/vnd.wap.wml,wml
text/xml,xml
text/x-c,c
text/x-cpp,cpp
text/x-h,h
text/x-hpp,hpp
text/x-java-source,java
video/avi,avi
video/mp4,mp4
video/mpeg,mpe
video/mpeg,mpeg
video/mpeg,mpg
video/quicktime,mov
video/quicktime,qt
video/x-flv,flv
video/x-matroska,mkv
video/x-ms-wmv,wmv
